match_id,league,date,home_team,away_team,home_goals,away_goals,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_pass_success,away_pass_success,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_corners,away_corners,home_red_cards,away_red_cards
527543,德甲,2021-1-20 3:30:00 AM,美因茨,沃尔夫斯堡,0,0,8,9,0,2,38.0,62.0,58.0,77.0,17,15,1,2,2,5,0,0
531074,英超,2021-1-20 4:15:00 AM,莱斯特城,切尔西,0,0,8,9,6,5,40.0,60.0,82.0,88.0,7,16,1,3,6,3,0,0
537066,西甲,2021-1-20 4:30:00 AM,阿拉维斯,塞维利亚,0,0,12,9,3,4,46.0,54.0,68.0,81.0,15,14,3,3,3,2,0,0
604550,意甲,2021-1-20 10:00:00 PM,乌迪内斯,亚特兰大,0,0,7,18,1,4,38.0,62.0,72.0,84.0,20,26,3,2,2,7,0,0
527544,德甲,2021-1-21 1:30:00 AM,沙尔克,科隆,0,0,14,13,7,3,63.0,37.0,84.0,72.0,7,11,2,1,5,8,0,0
597921,英超,2021-1-21 2:00:00 AM,曼城,阿斯顿维拉,0,0,26,11,9,4,63.0,37.0,87.0,72.0,9,8,0,2,16,2,0,1
537069,西甲,2021-1-21 2:00:00 AM,赫塔费,韦斯卡,0,0,12,16,6,4,51.0,49.0,74.0,75.0,15,13,2,3,3,8,0,0
527545,德甲,2021-1-21 3:30:00 AM,RB莱比锡,柏林联合,0,0,16,4,4,1,66.0,34.0,89.0,76.0,6,10,1,1,5,1,0,0
527540,德甲,2021-1-21 3:30:00 AM,奥格斯堡,拜仁慕尼黑,0,0,8,17,0,5,39.0,61.0,76.0,87.0,14,11,2,0,5,7,0,0
527539,德甲,2021-1-21 3:30:00 AM,弗赖堡,法兰克福,0,0,12,18,4,6,43.0,57.0,64.0,78.0,10,14,4,3,4,5,0,0
527541,德甲,2021-1-21 3:30:00 AM,比勒菲尔德,斯图加特,0,0,11,11,4,3,36.0,64.0,73.0,87.0,9,9,1,0,2,6,0,0
537067,西甲,2021-1-21 4:00:00 AM,贝蒂斯,塞尔塔,0,0,12,9,4,3,47.0,53.0,74.0,80.0,13,16,2,3,5,6,0,0
604551,法甲,2021-1-21 4:00:00 AM,马赛,朗斯,0,0,4,14,1,5,45.0,55.0,79.0,86.0,13,12,5,3,3,9,0,0
531072,英超,2021-1-21 4:15:00 AM,富勒姆,曼联,0,0,12,15,6,5,39.0,61.0,81.0,85.0,6,10,3,1,2,8,0,0
537073,西甲,2021-1-21 4:30:00 AM,比利亚雷亚尔,格拉纳达,0,0,7,3,2,2,64.0,36.0,87.0,70.0,11,11,3,3,3,0,0,1
531078,英超,2021-1-22 4:00:00 AM,利物浦,伯恩利,0,0,27,6,6,4,72.0,28.0,86.0,66.0,11,8,2,1,12,0,0,0
537068,西甲,2021-1-22 4:30:00 AM,埃瓦尔,马德里竞技,0,0,11,9,2,4,35.0,65.0,57.0,78.0,24,9,2,2,3,3,0,0
537071,西甲,2021-1-22 2:00:00 AM,瓦伦西亚,奥萨苏纳,0,0,13,13,3,4,65.0,35.0,85.0,73.0,8,17,1,3,9,4,0,0
